"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","29-Jul-2019","       1213.80","       1216.90","       1222.00","       1205.10","       1211.40","       1210.95","       1212.37","    8058035","          9769288352.70","     209633","    4222688","         52.40"
"RELIANCE","EQ","30-Jul-2019","       1210.95","       1213.95","       1220.00","       1175.95","       1177.60","       1180.90","       1199.24","    9533344","         11432780838.55","     230470","    5042852","         52.90"
"RELIANCE","EQ","31-Jul-2019","       1180.90","       1175.75","       1185.00","       1162.40","       1165.20","       1166.25","       1173.86","    9705619","         11393035591.95","     291399","    5616490","         57.87"
"RELIANCE","EQ","01-Aug-2019","       1166.25","       1163.40","       1188.20","       1150.35","       1185.75","       1180.25","       1163.85","   10344862","         12039909016.90","     299918","    5120707","         49.50"
"RELIANCE","EQ","02-Aug-2019","       1180.25","       1175.70","       1198.25","       1162.10","       1183.55","       1184.35","       1181.63","   10865385","         12838863669.00","     279007","    5009673","         46.11"
