"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","29-Jul-2019","        263.60","        263.00","        267.15","        260.25","        262.35","        262.40","        262.96","    2882263","           757921988.95","      36578","    1003607","         34.82"
"WIPRO","EQ","30-Jul-2019","        262.40","        262.90","        264.80","        261.00","        264.25","        262.30","        262.46","    2415087","           633854852.50","      29036","    1055033","         43.69"
"WIPRO","EQ","31-Jul-2019","        262.30","        262.50","        266.30","        260.55","        266.25","        265.30","        263.66","    2849216","           751212446.30","      31870","    1497577","         52.56"
"WIPRO","EQ","01-Aug-2019","        265.30","        271.50","        276.15","        268.55","        270.90","        270.40","        272.43","   17651207","          4808769713.90","     106048","    7453646","         42.23"
"WIPRO","EQ","02-Aug-2019","        270.40","        269.90","        270.90","        261.70","        263.75","        263.65","        264.41","    4978666","          1316384950.25","      52521","    1542125","         30.97"
